psraid,sample,state,cregion,usr,eminuse,intmob,pialql1,smart1,SmartPhone,pial1,pial2,pial3,pial4,pial5,pial6,pial7,pial8,employ,par,sex,age,educ2,hisp,race,inc,weight,standwt
200299,2,18,2,S,1,1, ,1,1,2,2,2,2,2, ,2, ,3,2,1,64,8,2,1,7,2,.478702524677115
200302,2,42,1,U,1,1, ,1,1,2,2,2,2,2, ,2, ,1,2,1,29,6,2,1,7,4.82608695652174,1.15513000519913
200308,2,37,3,R,1,1, ,1,1,2,2,2,2,2, ,2, ,2,2,2,99,6,2,1,7,2.1304347826087,.509922254547362
200324,2,6,4,U,1,1, ,1,1,1,1,1,1,1,8,8, ,1,1,1,60,8,2,1,9,2.65217391304348,.634801174028348
200330,2,8,4,S,1,1, ,1,1,1,2,2,1,2, ,2, ,1,2,1,23,3,2,1,4,7.60869565217391,1.82115090909772
200333,2,28,3,R,1,1, ,1,1,1,1,2,2,2, ,1,2,2,2,2,30,8,2,2,99,3.56521739130435,.853339283120075
200334,2,39,2,U,1,1, ,1,1,1,1,1,1,2, ,1,1,2,1,2,27,4,2,2,2,9.65217391304348,2.31026001039825
200335,2,25,1,U,1,1, ,1,1,1,2,1,2,2, ,2, ,1,2,1,26,6,2,3,7,4.30434782608696,1.03025108571814
200337,2,48,3,S,1,1, ,2,2,2,2,2,2,1,6,2, ,3,2,2,78,3,2,1,4,3.56521739130435,.853339283120075
200338,2,5,3,S,1,2, ,2,2,1,1,2,1,2, ,2, ,3,1,2,38,3,2,1,1,10.3913043478261,2.48717181299632
200352,2,26,2,S,1,1, ,1,1,2,1,2,1,2, ,2, ,1,2,2,46,5,2,1,6,9.47826086956522,2.26863370390459
200363,2,42,1,U,1,1, ,1,1,2,1,2,2,2, ,2, ,3,2,2,68,5,2,1,99,3.56521739130435,.853339283120075
200366,2,13,3,S,1,1, ,1,1,2,2,2,2,2, ,2, ,1,2,2,34,8,2,2,5,5.86956521739131,1.4048878441611
200378,2,49,4,R,1,2, ,2,2,2,2,2,2,2, ,2, ,3,2,1,71,6,2,1,2,1.69565217391304,.405856488313206
200380,2,55,2,U,1,1, ,2,2,1,1,2,2,2, ,2, ,1,2,1,48,6,2,1,6,3.43478260869565,.822119553249828
200383,2,48,3,S,1,1, ,2,2,2,1,1,1,2, ,2, ,3,1,2,20,3,1,1,1,10.3913043478261,2.48717181299632
200384,2,46,2,U,1,2, ,2,2,1,1,2,1,2, ,2, ,2,2,2,22,5,2,1,99,8.17391304347826,1.95643640520212
200393,2,28,3,R,2,2, ,2,2, , , , ,2, ,2, ,1,2,1,57,2,2,2,2,4.8695652173913,1.16553658182254
200397,2,17,2,R,2,1, ,2,2,2,2,2,2,2, ,2, ,1,1,1,57,3,2,1,3,5.39130434782609,1.29041550130353
200398,2,49,4,U,1,1, ,1,1,1,2,1,1,2, ,1,5,1,2,2,55,6,2,1,8,2.47826086956522,.593174867534686
200411,2,4,4,S,2,2, ,2,2, , , , ,2, ,2, ,3,2,1,68,3,1,1,5,9.08695652173913,2.17497451429385
200419,2,47,3,S,1,2, ,2,2,2,2,2,2,2, ,2, ,2,2,1,18,2,2,1,4,6.21739130434783,1.48814045714842
200420,2,51,3,S,1,1, ,1,1,2,2,2,2,2, ,2, ,1,2,1,44,8,1,1,7,5.78260869565217,1.38407469091427
200423,2,17,2,S,1,1, ,1,1,1,1,2,1,1,1,1,1,3,2,1,20,4,2,1,7,7.56521739130435,1.81074433247431
200435,2,6,4,S,1,1, ,1,1,1,1,2,1,1,4,2, ,3,2,1,18,4,2,4,8,5.82608695652174,1.39448126753768
200442,2,53,4,S,1,1, ,1,1,1,2,2,1,2, ,2, ,2,2,1,21,3,2,1,6,7.60869565217391,1.82115090909772
200459,2,17,2,S,1,1, ,1,1,2,2,2,2,2, ,2, ,1,2,1,99,6,1,1,9,2,.478702524677115
200461,2,24,3,S,2,2, ,2,2, , , , ,2, ,2, ,3,2,1,70,3,2,2,6,4.1304347826087,.988624779224477
200467,2,53,4,S,1,2, ,2,2,1,1,2,2,2, ,2, ,3,2,1,52,3,2,1,1,10.3913043478261,2.48717181299632
200478,2,4,4,S,1,1, ,1,1,2,2,2,2,2, ,2, ,1,2,2,76,4,2,1,99,2.21739130434783,.530735407794193
200479,2,12,3,S,1,1, ,1,1,2,2,2,2,2, ,2, ,3,2,1,79,2,2,1,9,4,.95740504935423
200490,2,6,4,S,1,2, ,2,2,2,2,1,2,2, ,2, ,3,2,2,80,3,2,1,99,3,.718053787015673
200495,2,6,4,S,1,1, ,1,1,1,1,1,1,1,5,1,4,1,2,1,20,3,2,1,3,5.69565217391304,1.36326153766744
200499,2,53,4,S,1,1, ,1,1,2,2,2,2,2, ,2, ,1,2,1,23,5,2,1,2,9.1304347826087,2.18538109091727
200504,2,1,3,U,1,1, ,1,1,2,1,2,2,2, ,2, ,3,1,2,41,6,2,1,9,3.82608695652174,.915778742860568
200508,2,41,4,R,1,1, ,1,1,2,2,2,2,2, ,2, ,3,2,1,26,6,2,1,3,3.30434782608696,.790899823379582
200518,2,48,3,U,1,2, ,1,1,2,2,2,2,2, ,2, ,3,2,1,63,6,2,1,9,3.21739130434783,.77008667013275
200525,2,6,4,U,1,1, ,1,1,1,2,1,2,1,2,1,2,2,2,1,18,3,1,1,3,8.21739130434783,1.96684298182554
200526,2,34,1,S,1,1, ,1,1,1,2,2,2,2, ,2, ,1,2,1,52,4,1,1,6,8.60869565217391,2.06050217143628
200527,2,55,2,R,1,1, ,1,1,1,1,1,1,1,1,1,1,3,2,2,19,3,2,1,1,7.56521739130435,1.81074433247431
200551,2,41,4,S,1,2, ,2,2,2,2,2,2,2, ,2, ,1,2,1,62,3,2,1,7,5.47826086956522,1.31122865455036
200553,2,6,4,U,1,1, ,1,1,1,2,2,2,2, ,2, ,1,2,1,31,8,2,4,5,5.34782608695652,1.28000892468011
200554,2,6,4,U,1,1, ,1,1,2,2,2,2,2, ,2, ,3,1,2,40,3,2,1,6,10.3913043478261,2.48717181299632
200565,2,6,4,U,1,1, ,1,1,1,2,1,2,1,3,1,3,3,2,2,18,3,2,3,3,10.3913043478261,2.48717181299632
200573,2,36,1,S,1,2, ,1,1,1,1,2,1,2, ,1,6,1,2,2,25,6,2,1,5,4.39130434782609,1.05106423896497
200575,2,36,1,U,1,1, ,1,1,1,1,2,2,2, ,1,1,2,2,1,22,4,2,3,7,8.26086956521739,1.97724955844895
